Leaf,Exploitation,Automatable,TechnicalImpact,MissionWellBeing,Priority
1,active,yes,total,high,Act
2,active,yes,total,medium,Act
3,active,yes,total,low,Attend
4,active,yes,partial,high,Act
5,active,yes,partial,medium,Attend
6,active,yes,partial,low,Attend
7,active,no,total,high,Act
8,active,no,total,medium,Attend
9,active,no,total,low,Track
10,active,no,partial,high,Attend
11,active,no,partial,medium,Track
12,active,no,partial,low,Track
13,PoC,yes,total,high,Attend
14,PoC,yes,total,medium,Track*
15,PoC,yes,total,low,Track
16,PoC,yes,partial,high,Attend
17,PoC,yes,partial,medium,Track
18,PoC,yes,partial,low,Track
19,PoC,no,total,high,Attend
20,PoC,no,total,medium,Track*
21,PoC,no,total,low,Track
22,PoC,no,partial,high,Track
23,PoC,no,partial,medium,Track
24,PoC,no,partial,low,Track*
25,none,yes,total,high,Attend
26,none,yes,total,medium,Track
27,none,yes,total,low,Track
28,none,yes,partial,high,Attend
29,none,yes,partial,medium,Track
30,none,yes,partial,low,Track
31,none,no,total,high,Track*
32,none,no,total,medium,Track
33,none,no,total,low,Track
34,none,no,partial,high,Track
35,none,no,partial,medium,Track
36,none,no,partial,low,Track
