CVE,Vendor,Product,Type,CWE
CVE-2017-0199,Microsoft,Multiple Products,Arbitrary Code Execution,None Listed
CVE-2017-11882,Microsoft,Exchange Server,Arbitrary Code Execution,CWE-119: Improper Restriction of Operations within the Bounds of a Memory Buffer
CVE-2019-11510,Ivanti,Pulse Secure Pulse Connect Secure,Arbitrary File Reading,CWE-22: Improper Limitation of a Pathname to a Restricted Directory ('Path Traversal')
CVE-2019-0708,Microsoft,Remote Desktop Services,RCE,CWE-416: Use After Free
CVE-2019-19781,Citrix,Application Delivery Controller and Gateway,Arbitrary Code Execution,CWE-22: Improper Limitation of a Pathname to a Restricted Directory ('Path Traversal')
CVE-2020-5902,F5 Networks,BIG-IP,RCE,CWE-22: Improper Limitation of a Pathname to a Restricted Directory ('Path Traversal')
CVE-2020-1472,Microsoft,Multiple Products,Privilege Escalation,CWE-330: Use of Insufficiently Random Values
CVE-2020-14882,Oracle,WebLogic Server,RCE,None Listed
CVE-2020-14883,Oracle,WebLogic Server,RCE,None Listed
CVE-2021-20016,SonicWALL,SSLVPN SMA100,SQL Injection,CWE-89: Improper Neutralization of Special Elements used in an SQL Command ('SQL Injection')
CVE-2021-26855,Microsoft,Exchange Server,RCE,CWE-918: Server-Side Request Forgery (SSRF)
CVE-2021-27065,Microsoft,Exchange Server,RCE,CWE-22: Improper Limitation of a Pathname to a Restricted Directory ('Path Traversal')
CVE-2021-26858,Microsoft,Exchange Server,RCE,None Listed
CVE-2021-26857,Microsoft,Exchange Server,RCE,CWE-502: Deserialization of Untrusted Data
CVE-2021-20021,SonicWALL,Email Security,Privilege Escalation Exploit Chain,CWE-269: Improper Privilege Management
CVE-2021-40438,Apache,HTTP Server,Server-Side Request Forgery,CWE-918: Server-Side Request Forgery (SSRF)
CVE-2021-41773,Apache,HTTP Server,Server Path Traversal,CWE-22: Improper Limitation of a Pathname to a Restricted Directory ('Path Traversal')
CVE-2021-42013,Apache,HTTP Server,Server Path Traversal,CWE-22: Improper Limitation of a Pathname to a Restricted Directory ('Path Traversal')
CVE-2021-20038,SonicWall,SMA 100 Series Appliances,Stack-based Buffer Overflow,"CWE-787: Out-of-bounds Write, CWE-121: Stack-based Buffer Overflow"
CVE-2021-45046,Apache,Log4j,RCE,CWE-917: Improper Neutralization of Special Elements used in an Expression Language Statement ('Expression Language Injection')
CVE-2022-42475,Fortinet,FortiOS,Heap-based Buffer Overflow,CWE-787: Out-of-bounds Write
CVE-2022-24682,Zimbra,Collaboration Suite,Cross-site Scripting,CWE-79: Improper Neutralization of Input During Web Page Generation ('Cross-site Scripting')
CVE-2022-22536,SAP,Internet Communication Manager (ICM),HTTP Request Smuggling,CWE-444: Inconsistent Interpretation of HTTP Requests ('HTTP Request/Response Smuggling')
CVE-2022-22963,VMware Tanzu,Spring Cloud,RCE,"CWE-94: Improper Control of Generation of Code ('Code Injection'), CWE-917: Improper Neutralization of Special Elements used in an Expression Language Statement ('Expression Language Injection')"
CVE-2022-29464,WSO2,Multiple Products,RCE,CWE-434: Unrestricted Upload of File with Dangerous Type
CVE-2022-27924,Zimbra,Zimbra Collaboration Suite,Command Injection,CWE-74: Improper Neutralization of Special Elements in Output Used by a Downstream Component ('Injection')
CVE-2022-22047,Microsoft,Windows CSRSS,Elevation of Privilege,CWE-269: Improper Privilege Management
CVE-2022-27593,QNAP,QNAP NAS,Externally Controlled Reference,CWE-610: Externally Controlled Reference to a Resource in Another Sphere
CVE-2022-41082,Microsoft,Exchange Server,Privilege Escalation,None Listed
CVE-2022-40684,Fortinet,"FortiOS, FortiProxy, FortiSwitchManager",Authentication Bypass,CWE-306: Missing Authentication for Critical Function
