CVE,Vendor,Product,Type,Description,Date Discovered,Date Patched,Advisory,Analysis URL,Root Cause Analysis,Reported By
CVE-2023-42824,Apple,iOS,Memory Corruption,Privilege escalation in Kernel,???,2023-10-04,https://support.apple.com/en-us/HT213961,???,???,???
CVE-2023-22515,Atlassian,Confluence,Logic/Design Flaw,Broken access control vulnerability,???,2023-10-04,https://confluence.atlassian.com/security/cve-2023-22515-privilege-escalation-vulnerability-in-confluence-data-center-and-server-1295682276.html,???,???,???
CVE-2023-4211,ARM,Android,Memory Corruption,Use-after-free in Mali GPU driver,???,2023-10-02,https://developer.arm.com/Arm%20Security%20Center/Mali%20GPU%20Driver%20Vulnerabilities,???,???,Maddie Stone of Google's Threat Analysis Group and Jann Horn of Google Project Zero
CVE-2023-5217,Google,Chrome,Memory Corruption,Heap buffer overflow in vp8 encoding in libvpx,2023-09-25,2023-09-27,https://chromereleases.googleblog.com/2023/09/stable-channel-update-for-desktop_27.html,???,???,Clément Lecigne of Google's Threat Analysis Group
CVE-2023-41992,Apple,iOS,Memory Corruption,Vulnerability in the XNU Kernel,2023-09-12,2023-09-21,https://support.apple.com/en-us/HT213926,https://blog.google/threat-analysis-group/0-days-exploited-by-commercial-surveillance-vendor-in-egypt/,???,Bill Marczak of The Citizen Lab at The University of Toronto's Munk School and Maddie Stone of Google's Threat Analysis Group
CVE-2023-41991,Apple,iOS,Logic/Design Flaw,Singature validation bypass,2023-09-12,2023-09-21,https://support.apple.com/en-us/HT213926,https://blog.google/threat-analysis-group/0-days-exploited-by-commercial-surveillance-vendor-in-egypt/,???,Bill Marczak of The Citizen Lab at The University of Toronto's Munk School and Maddie Stone of Google's Threat Analysis Group
CVE-2023-41993,Apple,WebKit,Memory Corruption,Unspecified memory corruption,2023-09-12,2023-09-21,https://support.apple.com/en-us/HT213926,https://blog.google/threat-analysis-group/0-days-exploited-by-commercial-surveillance-vendor-in-egypt/,???,Bill Marczak of The Citizen Lab at The University of Toronto's Munk School and Maddie Stone of Google's Threat Analysis Group
CVE-2023-4863,Google,Chrome,Memory Corruption,Heap buffer overflow in WebP,2023-09-06,2023-09-12,https://chromereleases.googleblog.com/2023/09/stable-channel-update-for-desktop_12.html,???,???,Apple Security Engineering and Architecture (SEAR) and The Citizen Lab at The University of Torontoʼs Munk School
CVE-2023-26369,Adobe,Reader,Memory Corruption,Out-of-bounds write,???,2023-09-12,https://helpx.adobe.com/security/products/acrobat/apsb23-34.html,???,???,???
CVE-2023-36802,Microsoft,Windows,???,Streaming service proxy elevation of privilege,???,2023-09-12,https://msrc.microsoft.com/update-guide/en-US/advisory/CVE-2023-36802,https://securityintelligence.com/x-force/critically-close-to-zero-day-exploiting-microsoft-kernel-streaming-service/,https://googleprojectzero.github.io/0days-in-the-wild//0day-RCAs/2023/CVE-2023-36802.html,"Quan Jin(@jq0904) & ze0r with DBAPPSecurity WeBin Lab, Valentina Palmiotti with IBM X-Force, Microsoft Threat Intelligence, Microsoft Security Response Center"
