,cve,vectorString,Exploitation,Automatable,TechnicalImpact,base_vector,cisa_kev,nuclei,metasploit,exploitdb,poc_github,_Exploitation,KeyPhrases
0,CVE-2013-7030,,None,No,Partial,AV:N/AC:L/Au:N/C:P/I:N/A:N,False,False,False,True,False,Poc,"['obtain sensitive information', 'cleartext useusercredential field']"
1,CVE-2013-3245,CVSS:3.1/AV:N/AC:L/PR:N/UI:R/S:U/C:L/I:L/A:L,Poc,No,Partial,AV:N/AC:M/Au:N/C:P/I:P/A:P,False,False,False,False,False,None,"['does not involve a register', 'integer overflow', 'uncaught exception', 'denial of service (crash)', 'out-of-bounds read', 'execute arbitrary code', 'heap-based buffer overflow']"
2,CVE-2014-9426,,None,No,Partial,AV:N/AC:L/Au:N/C:P/I:P/A:P,False,False,False,False,False,None,"['unknown vectors', 'denial of service (memory corruption', 'unspecified other impact', 'denial of service (memory corruption or application crash)']"
3,CVE-2014-0808,CVSS:3.1/AV:N/AC:L/PR:N/UI:N/S:U/C:H/I:H/A:N,None,Yes,Total,AV:N/AC:L/Au:N/C:P/I:N/A:N,False,False,False,False,False,None,"['unspecified vectors', 'obtain sensitive shipping information', 'lfcheckerror']"
4,CVE-2014-5470,CVSS:3.1/AV:N/AC:L/PR:N/UI:N/S:U/C:H/I:H/A:H,Poc,Yes,Total,,False,False,True,True,False,Poc,
5,CVE-2022-2586,,Active,No,Total,CVSS:3.1/AV:L/AC:L/PR:L/UI:N/S:U/C:H/I:H/A:H,True,False,False,False,True,Active,['use-after-free once']
6,CVE-2022-2795,,None,Yes,Partial,CVSS:3.1/AV:N/AC:L/PR:N/UI:N/S:U/C:N/I:N/A:L,False,False,False,False,False,None,"['dns resolution service', 'performance']"
7,CVE-2022-3437,,None,No,Partial,CVSS:3.1/AV:N/AC:L/PR:L/UI:N/S:U/C:N/I:N/A:H,False,False,False,False,False,None,"['maliciously small packet', 'send specially crafted malicious data to the application', 'length-limited write buffer overflow', 'denial of service (dos)', 'heap-based buffer overflow']"
8,CVE-2022-3596,,None,No,Partial,CVSS:3.1/AV:N/AC:L/PR:N/UI:N/S:U/C:H/I:N/A:N,False,False,False,False,False,None,"['inspect sensitive data after discovering the ip address', 'compromising private information', 'information leak']"
9,CVE-2022-3038,CVSS:3.1/AV:N/AC:L/PR:N/UI:R/S:U/C:H/I:H/A:H,Active,No,Total,CVSS:3.1/AV:N/AC:L/PR:N/UI:R/S:U/C:H/I:H/A:H,True,False,False,False,False,Active,"['use after free', 'heap corruption']"
10,CVE-2022-3474,,None,No,Partial,CVSS:3.1/AV:N/AC:L/PR:L/UI:N/S:U/C:L/I:N/A:N,False,False,False,False,False,None,['credential handling']
11,CVE-2022-35503,CVSS:3.1/AV:N/AC:H/PR:L/UI:N/S:U/C:H/I:H/A:H,None,No,Total,,False,False,False,False,False,None,
12,CVE-2022-35832,,None,No,Partial,CVSS:3.1/AV:L/AC:L/PR:L/UI:N/S:U/C:N/I:N/A:H,False,False,False,False,False,None,['denial of service']
13,CVE-2022-35838,,None,Yes,Partial,CVSS:3.1/AV:N/AC:L/PR:N/UI:N/S:U/C:N/I:N/A:H,False,False,False,False,False,None,"['denial of service', 'http denial of service']"
14,CVE-2022-25729,,None,Yes,Total,CVSS:3.1/AV:N/AC:L/PR:N/UI:N/S:U/C:H/I:H/A:H,False,False,False,False,False,None,"['improper length check', 'memory corruption']"
15,CVE-2022-25732,,None,Yes,Partial,CVSS:3.1/AV:N/AC:L/PR:N/UI:N/S:U/C:H/I:N/A:N,False,False,False,False,False,None,"['buffer over read', 'information disclosure', 'missing length check']"
16,CVE-2022-25728,,None,Yes,Partial,CVSS:3.1/AV:N/AC:L/PR:N/UI:N/S:U/C:H/I:N/A:N,False,False,False,False,False,None,"['buffer over-read', 'information disclosure']"
17,CVE-2022-25745,,None,Yes,Total,CVSS:3.1/AV:N/AC:L/PR:N/UI:N/S:U/C:H/I:H/A:H,False,False,False,False,False,None,"['memory corruption', 'improper input validation']"
18,CVE-2022-25739,,None,Yes,Total,CVSS:3.1/AV:N/AC:L/PR:N/UI:N/S:U/C:N/I:N/A:H,False,False,False,False,False,None,"['denial of service', 'missing null check']"
19,CVE-2022-25152,,None,Yes,Total,CVSS:3.1/AV:N/AC:L/PR:L/UI:N/S:U/C:H/I:H/A:H,False,False,False,False,False,None,"['full system take-over', 'perform arbitrary code execution', 'bypass approval', 'perform arbitrary code execution and full system take']"
20,CVE-2022-25740,,None,Yes,Total,CVSS:3.1/AV:N/AC:L/PR:N/UI:N/S:U/C:H/I:H/A:H,False,False,False,False,False,None,"['memory corruption', 'buffer overwrite']"
21,CVE-2022-25730,,None,Yes,Partial,CVSS:3.1/AV:N/AC:L/PR:N/UI:N/S:U/C:H/I:N/A:N,False,False,False,False,False,None,['information disclosure']
